,FL_DATE,DEP_HOUR,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,MESONET_STATION,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,RANGE,WIDTH,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
6862,2022-01-01,0,DL,2972,DL,2972,N980AT,ATL,AVL,2022-01-01 00:00:00,2022-01-01 20:00:00,0,0,0,164,1,33.636665,-84.42778,1026,ATL,2002,Boeing,B712,Short Range,Narrow-body,,,,,,,,,,,,,,,
6863,2022-01-01,16,DL,2976,DL,2976,N126DN,DTW,FLL,2022-01-01 16:44:00,2022-01-01 16:45:00,36,-1,160,1127,0,42.2125,-83.35333,645,DTW,2021,Airbus,A321,Medium Range,Narrow-body,30.0,10.0,0.0,2.0,2.78,1.11,88.78,29.81,700.0,1.0,1.0,0.0,0.0,4.0,1.0
6864,2022-01-01,9,DL,2977,DL,2977,N946AT,ATL,GSO,2022-01-01 09:48:00,2022-01-01 09:44:00,17,4,52,306,0,33.636665,-84.42778,1026,ATL,1999,Boeing,B712,Short Range,Narrow-body,220.0,9.0,0.0,10.0,21.72,18.89,83.93,29.93,700.0,3.0,1.0,0.0,0.0,4.0,0.0
6865,2022-01-01,22,DL,2979,DL,2979,N897DN,ATL,MCI,2022-01-01 22:40:00,2022-01-01 22:40:00,15,0,110,692,0,33.636665,-84.42778,1026,ATL,2018,Boeing,B739,Medium Range,Narrow-body,200.0,10.0,19.0,10.0,24.39,16.72,62.3,29.81,2800.0,4.0,1.0,1.0,1.0,3.0,0.0
6866,2022-01-01,13,DL,2982,DL,2982,N833DN,ATL,EWR,2022-01-01 13:00:00,2022-01-01 12:55:00,14,5,102,746,0,33.636665,-84.42778,1026,ATL,2015,Boeing,B739,Medium Range,Narrow-body,210.0,9.0,16.0,10.0,21.11,18.89,87.14,29.94,1600.0,4.0,1.0,0.0,1.0,3.0,0.0
6867,2022-01-01,6,DL,2984,DL,2984,N336NB,BIL,SLC,2022-01-01 06:46:00,2022-01-01 06:50:00,38,-4,58,387,0,45.807777,-108.54361,3652,BIL,2002,Airbus,A319,Medium Range,Narrow-body,0.0,0.0,0.0,10.0,-26.11,-28.28,81.93,29.98,800.0,1.0,1.0,0.0,0.0,1.0,0.0
6868,2022-01-01,0,DL,2987,DL,2987,N376DA,SEA,LAS,2022-01-01 00:00:00,2022-01-01 19:45:00,0,0,0,867,2,47.45,-122.31167,433,SEA,1999,Boeing,B738,Medium Range,Narrow-body,,,,,,,,,,,,,,,
6869,2022-01-01,22,DL,2988,DL,2988,N892DN,ATL,EWR,2022-01-01 22:43:00,2022-01-01 22:45:00,14,-2,87,746,0,33.636665,-84.42778,1026,ATL,2018,Boeing,B739,Medium Range,Narrow-body,200.0,10.0,19.0,10.0,24.39,16.72,62.3,29.81,2800.0,4.0,1.0,1.0,1.0,3.0,0.0
6870,2022-01-01,21,DL,2989,DL,2989,N370NW,DTW,DCA,2022-01-01 21:00:00,2022-01-01 21:00:00,28,0,62,405,0,42.2125,-83.35333,645,DTW,1999,Airbus,A320,Medium Range,Narrow-body,20.0,13.0,20.0,3.0,0.61,-1.72,84.36,29.78,1100.0,1.0,1.0,0.0,0.0,4.0,1.0
6871,2022-01-01,6,DL,2991,DL,2991,N340NW,SYR,ATL,2022-01-01 06:13:00,2022-01-01 06:16:00,10,-3,124,794,0,43.11111,-76.10639,421,SYR,1992,Airbus,A320,Medium Range,Narrow-body,90.0,7.0,0.0,4.0,1.72,1.72,100.0,29.78,200.0,1.0,1.0,0.0,0.0,2.0,1.0
6872,2022-01-01,20,DL,2992,DL,2992,N351NB,MSP,GRR,2022-01-01 20:49:00,2022-01-01 20:35:00,16,14,55,408,0,44.881943,-93.221664,841,MSP,2002,Airbus,A319,Medium Range,Narrow-body,330.0,8.0,0.0,10.0,-20.61,-26.11,61.36,30.2,14000.0,2.0,0.0,1.0,0.0,3.0,0.0
6873,2022-01-01,20,DL,2993,DL,2993,N946AT,ATL,CLT,2022-01-01 20:38:00,2022-01-01 19:45:00,10,53,41,226,0,33.636665,-84.42778,1026,ATL,1999,Boeing,B712,Short Range,Narrow-body,200.0,13.0,20.0,10.0,25.61,18.28,63.9,29.84,3400.0,3.0,1.0,1.0,1.0,3.0,0.0
6874,2022-01-01,0,DL,2994,DL,2994,N108DQ,JFK,PBI,2022-01-01 00:00:00,2022-01-01 08:55:00,0,0,0,1028,1,40.64,-73.77861,13,JFK,2019,Airbus,BCS1,Medium Range,Narrow-body,,,,,,,,,,,,,,,
6875,2022-01-01,0,DL,2994,DL,2994,N108DQ,PBI,JFK,2022-01-01 00:00:00,2022-01-01 13:10:00,0,0,0,1028,1,26.683056,-80.09556,19,PBI,2019,Airbus,BCS1,Medium Range,Narrow-body,,,,,,,,,,,,,,,
6876,2022-01-01,17,DL,2995,DL,2995,N114DU,DCA,DTW,2022-01-01 17:13:00,2022-01-01 17:10:00,29,3,72,405,0,38.851387,-77.03778,15,DCA,2019,Airbus,BCS1,Medium Range,Narrow-body,0.0,0.0,0.0,1.0,14.39,13.28,93.04,29.77,400.0,1.0,1.0,0.0,0.0,4.0,1.0
6877,2022-01-01,14,DL,2995,DL,2995,N114DU,DTW,DCA,2022-01-01 14:11:00,2022-01-01 14:15:00,11,-4,60,405,0,42.2125,-83.35333,645,DTW,2019,Airbus,BCS1,Medium Range,Narrow-body,30.0,9.0,0.0,1.5,3.28,2.22,92.78,29.79,500.0,1.0,1.0,0.0,0.0,4.0,1.0
6878,2022-01-01,21,DL,2996,DL,2996,N974AT,ATL,TUL,2022-01-01 21:12:00,2022-01-01 21:20:00,13,-8,112,674,0,33.636665,-84.42778,1026,ATL,2002,Boeing,B712,Short Range,Narrow-body,200.0,8.0,0.0,10.0,24.39,17.22,64.31,29.82,4500.0,3.0,1.0,1.0,1.0,3.0,0.0
6879,2022-01-01,8,DL,2999,DL,2999,N3766,LGA,RSW,2022-01-01 08:56:00,2022-01-01 09:00:00,12,-4,154,1080,0,40.77722,-73.8725,21,LGA,2001,Boeing,B738,Medium Range,Narrow-body,130.0,5.0,0.0,7.0,10.61,8.28,85.48,29.89,2700.0,1.0,1.0,0.0,0.0,4.0,0.0
6880,2022-01-01,15,DL,2999,DL,2999,N3766,RSW,LGA,2022-01-01 15:54:00,2022-01-01 15:59:00,18,-5,138,1080,0,26.536112,-81.75528,30,RSW,2001,Boeing,B738,Medium Range,Narrow-body,150.0,6.0,0.0,10.0,23.28,19.39,78.77,30.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6881,2022-01-01,22,DL,300,DL,300,N187DN,SFO,JFK,2022-01-01 22:31:00,2022-01-01 22:39:00,16,-8,288,2586,0,37.61889,-122.37556,13,SFO,1996,Boeing,B763,Long Range,Wide-body,0.0,0.0,0.0,10.0,10.61,0.0,47.81,30.19,20000.0,1.0,0.0,1.0,0.0,2.0,0.0
6882,2022-01-01,22,DL,304,DL,304,N547US,OGG,LAX,2022-01-01 22:44:00,2022-01-01 22:50:00,17,-6,282,2486,0,20.898611,-156.43056,54,PHOG,1996,Boeing,B752,Medium Range,Narrow-body,360.0,6.0,0.0,10.0,27.22,20.0,64.69,29.87,3200.0,1.0,1.0,0.0,0.0,1.0,0.0
6883,2022-01-01,10,DL,306,DL,306,N390DN,ATL,DCA,2022-01-01 10:00:00,2022-01-01 10:00:00,24,0,71,547,0,33.636665,-84.42778,1026,ATL,2019,Airbus,A321,Medium Range,Narrow-body,220.0,9.0,17.0,10.0,21.72,18.89,83.93,29.92,1700.0,4.0,1.0,0.0,1.0,4.0,0.0
6884,2022-01-01,11,DL,307,DL,307,N391DN,DCA,ATL,2022-01-01 11:39:00,2022-01-01 11:00:00,14,39,83,547,0,38.851387,-77.03778,15,DCA,2019,Airbus,A321,Medium Range,Narrow-body,190.0,5.0,0.0,5.0,13.89,12.22,89.68,29.82,500.0,1.0,1.0,0.0,0.0,4.0,1.0
6885,2022-01-01,22,DL,309,DL,309,N593NW,LAX,ATL,2022-01-01 22:35:00,2022-01-01 22:20:00,13,15,220,1947,0,33.9425,-118.40806,125,LAX,2003,Boeing,B753,Medium Range,Narrow-body,230.0,6.0,0.0,10.0,15.61,4.39,47.15,30.12,3000.0,2.0,1.0,1.0,0.0,2.0,0.0
